Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.1988105,37.73242325,12.7090911,17.4246318,0.1857971571,11.94581263,13.4908503,-0.00109454473,17.55798721,13,15,1.119402985,0.9638554217,0.9315789474,1,0,3,1.872960587,4.63548859,0.1902380978
-122.1987807,37.72658574,7.090909153,8.602381987,0.472485977,14.6407413,11.0483584,0.5027164034,11.9248209,13,35,0.9222383721,1.12,0.9871794872,2,0,3,1.79169356,1.544621849,0.09446746239
-122.198776,37.72787876,6.499999965,10.39425015,0.3394597371,9.930307636,11.95198383,0.4294719216,0,13,500,0.6829268293,0.8682926829,0.9743589744,2,0,3,0.2576694316,0.9891478291,0.04174063294
-122.1987498,37.73213228,12.14999961,11.5434047,0.4961192756,24.87631127,13.80113032,0.446066743,14.16779852,18,48,0.96875,1,0.9871794872,1,0,3,3.4485637,1.851966908,0.147493548
-122.1987418,37.73126637,7.795454481,5.981571379,0.406583097,9.264297841,8.737978937,0.1752304526,7.690943837,11,114,0.8620689655,0.9389312977,1,3,0,3,1.64343057,0.85111897,0.1084388502
-122.1987141,37.72644058,11.94230718,7.863714082,0.5907582206,24.87295317,11.50682364,0.666280209,12.47013235,13,35,1.153846154,1.014285714,1.074810606,2,0,3,4.823832743,0.9043536303,0.06619927793
-122.1987014,37.73267936,8.922056498,16.86333166,0.5232108355,10.94633122,16.59267727,0.6740118901,17.23903275,13,23,1.142857143,0.9978165939,0.9473684211,1,0,3,1.22993686,4.695206105,0.1582935013
-122.1986786,37.73228734,8.206896998,11.15786944,0.5195198345,26.97820705,12.26346652,0.5047297645,14.10349321,18,44,0.9222383721,0.9346830402,0.9743589744,1,0,3,2.611393954,1.761070337,0.09322545173
-122.1986685,37.72767964,18.83773674,10.82326558,0.3150354805,22.6197333,10.90692812,0.6267910629,9.090232849,12,20,0.8387096774,0.8830099778,1,2,0,3,4.173268433,2.845430194,0.3109282036
-122.198663,37.72798003,8.181818115,9.342366233,0.2355792114,13.32585091,10.77071627,0.4244135506,8.184810638,16,66,0.9069767442,1,0.8936170213,2,0,3,1.474079889,0.8130405659,0.07770549137
-122.1986495,37.72527018,9.172413498,9.391499996,0.3816266897,21.42259412,11.36405885,0.5310683928,12.90483761,14,44,0.8620689655,1.06,0.9743589744,2,0,3,4.251470239,1.067287963,0.1856947275
-122.1986445,37.72683313,8.272727528,8.379282217,0.4274455905,17.50195489,11.42816761,0.6767495173,11.8373661,13,40,0.9069767442,0.9304347826,1,2,0,3,2.100396863,1.14338765,0.1276652207
-122.1986203,37.72754813,10.63636318,14.90944031,0.8802949905,18.82544016,13.58191991,0.7810724468,8.992487907,13,24,0.9222383721,1.12,1,2,0,3,5.821038734,2.810968555,0.2587259194
-122.1986038,37.72507877,7.809437482,9.37228557,0.2314878492,19.54645541,11.7587404,0.3782240843,14.26554298,11,21,1.095238095,0.9672822427,1,2,0,3,5.722680001,3.077556562,0.2283553836
-122.1985914,37.73292033,13.14285717,16.83013023,0.4048748019,15.07620309,18.77674079,0.4092609328,17.39336586,13,23,1.261904762,0.9797443047,1,3,0,3,2.738663962,5.223438196,0.1678516128
-122.1985736,37.72736547,7.255814298,13.59481182,0.4366278787,16.78521585,13.21152513,0.5327343205,10.39949322,13,34,0.9375,1.12,1,2,0,3,3.039648319,2.488184733,0.1736744513
-122.1985696,37.72709579,6.134615303,10.44149995,0.4246317339,10.79181672,11.00521431,1.0518492,10.9473772,13,39,0.9069767442,1.12,1,2,0,3,2.410691341,1.758609623,0.08368535746
-122.198562,37.73254137,8.149999939,11.50730593,0.5851766474,31.55627144,14.65361542,0.9404395322,14.44302654,18,36,1.041666667,0.9638554217,0.9633699634,1,0,3,4.408637593,2.228880006,0.1064555644
-122.1985509,37.72667743,8.448275898,7.587000132,0.5202971234,27.27088699,11.72026088,0.4289738469,12.26435423,13,38,1.148351648,1.185714286,1.045454545,2,0,3,2.787736883,1.156765376,0.1938609873
-122.1985257,37.73262044,7.340996094,11.30640257,0.5646269908,13.93392885,12.86435126,1.287862877,14.17294312,16,23,1.153846154,0.974137931,0.9761904762,1,0,3,4.342603331,1.972498422,0.1391403396
-122.1985229,37.72773414,28.70689615,12.73437486,0.636416472,30.05072522,13.84824287,0.7416091624,8.066488266,13,33,0.8620689655,0.8993637328,0.7722850679,2,0,3,6.049476318,1.906476637,0.1519178267
-122.1985169,37.73106338,6.137931125,5.468520609,0.3570542087,5.193162584,8.592784312,0.5325336248,11.13772106,11,64,1,0.9036119903,0.9333333333,3,0,3,1.012402443,1.068642245,0.09310247857
-122.1984738,37.73317408,0,33.88842869,0.6874161037,11.22342078,30.9349677,1.168056286,0,13,95,3.300653595,2.183673469,3.5625,3,0,3,0.5427496838,0.08604371998,0.3542275231
-122.1984613,37.73276042,8.337931346,11.04055399,0.3720327657,24.60670598,12.57204221,0.9951458902,14.50990438,18,27,0.96875,0.974137931,0.9633699634,3,0,3,5.438200366,1.714453683,0.2361689282
-122.1984476,37.72693435,7.702978319,8.287074126,0.4971625574,23.16326986,12.25564743,0.5258918913,11.86308765,13,39,1.142857143,1.1,1.074810606,2,0,3,4.393990398,1.242731696,0.09948310272
-122.198441,37.72747195,11.76425709,9.237404732,0.4849912372,33.80499144,13.51282563,0.6322356611,0.05658888444,13,383,1.153846154,1.185714286,1.170940171,2,0,3,1.21011336,1.132447666,0.08173080105
-122.198435,37.72777784,10.97202792,9.093797121,0.3686024701,17.07550341,11.7094179,0.7310098897,5.977843761,19,104,1,1,1,2,0,3,1.692073044,0.6192615307,0.1222469798
-122.198414,37.72720274,7.241379148,7.609499931,0.1170850095,24.04994117,12.05934108,0.1273895703,10.04709911,13,61,1.153846154,1.195652174,1.162790698,2,0,3,2.354294831,0.2742826727,0.1184224212
-122.198409,37.73287444,6.524471669,9.514614783,0.5077837205,26.14750943,11.67177171,1.228198525,14.07262659,18,39,1.083333333,0.9560656419,0.9871794872,3,0,3,1.396713067,1.550178538,0.135916557
-122.1983683,37.7251177,8.076923326,9.465000153,0.3305129485,21.10219765,12.02890086,0.4043382514,14.39929867,16,43,1.142857143,1.12,1,2,0,3,2.231508217,1.708528705,0.131773028
-122.1983563,37.73342783,0,34.9999181,0.5947568882,6.265789621,32.12450179,1.136444961,0,13,123,4.823529412,2.183673469,3.5625,1,0,3,0,0.1478344285,0.3948256016
-122.1983213,37.72492793,6.275862198,10.33500004,0.5151184243,14.08912321,11.93959068,0.6574359756,15.50792646,11,19,1.095238095,1,1,2,0,3,4.646295756,3.115433336,0.3900064576
-122.1983196,37.72767491,4.727272952,15.96228272,0.4181458835,19.21168218,15.36500525,0.7251576568,0,14,152,0.9375,1.383333333,1.615384615,2,0,3,0.6442947631,0.3109009343,0.1351969233
-122.1982925,37.73312849,10.4362065,9.657224355,0.417663235,24.81909757,11.75638098,0.5497011043,14.21409845,18,59,1,0.9389312977,0.9523809524,3,0,3,3.82249886,1.385668155,0.09092127918
-122.1982921,37.7308604,2.586206919,5.451562721,0.3401076698,3.81893848,8.479655443,0.2498284369,11.24061012,11,61,0.8620689655,0.9036119903,1,3,0,3,1.660424273,1.101654737,0.1002084866
-122.1982387,37.73368159,10.63636318,18.56549226,0.5442629002,15.18937208,18.29118211,0.7653372776,17.151577,13,26,1.142857143,0.9978165939,1,1,0,3,4.460023924,4.93544315,0.2457667862
-122.1981759,37.73338253,10.53333363,10.89769835,0.5228522301,22.58584187,11.55206871,0.4840014831,13.91057682,18,54,1.118589744,0.9638554217,1,1,0,3,2.340592272,1.530007446,0.139864288
-122.1981324,37.72790174,10.88372102,10.67580867,0.4597269619,45.48212165,23.11181123,0.6153591725,1.461022079,20,196,0.9069767442,0.9304347826,1,2,0,3,1.603989958,1.108783177,0.09102764575
-122.1981211,37.73393534,10.53448265,18.77577177,0.4760458469,13.05134038,16.17015803,0.4057879354,16.73486343,13,26,1.119402985,0.9956331878,1,1,0,3,3.448866597,5.483064909,0.1969174659
-122.1980872,37.72496522,9.003246871,7.511308685,0.4658210396,23.62867049,10.48741985,0.5412585061,15.03978205,15,39,1.142857143,1.12,1,2,0,3,3.410313303,1.444670524,0.09782502592
-122.1980672,37.73065741,4.344827399,5.148689716,0.4545772362,8.091387789,8.758876711,0.3072793557,10.34290457,11,63,0.8620689655,0.9036119903,0.9666666667,3,0,3,0.7481749478,1.120460588,0.08479302656
