,h3id_9,no_med,no2_med,bc_med,city,polygon,__index_level_0__
68,89283081197ffff,46.99999839,31.75106916,1.7464733940000001,1,"POLYGON((37.80468267439537 -122.30296775837405, 37.806364637124204 -122.30189345460079, 37.80787049672429 -122.30315270287264, 37.8076943702918 -122.30548625424834, 37.806012407271275 -122.30656048885162, 37.80450657097465 -122.30530124125187))",68
69,8928308119bffff,5.600000266,11.839842335,0.41180900774999996,1,"POLYGON((37.805210722841274 -122.29596705268578, 37.806892654615694 -122.29489258190235, 37.80839861418284 -122.29615179167183, 37.80822261867252 -122.29848547157783, 37.80654068659579 -122.29955987320436, 37.805034750331394 -122.29830066408445))",69
70,892830811bbffff,34.7777783,26.03376014,1.43391516,1,"POLYGON((37.81105823533012 -122.30333765849875, 37.81274013733917 -122.30226329734903, 37.81424589019639 -122.30352262525335, 37.814069717744964 -122.30585631363667, 37.81238781544532 -122.30693060560719, 37.810882085887414 -122.30567127837624))",70
71,892830811c3ffff,5.32618344,11.67875366,0.4285790462,1,"POLYGON((37.8089263388262 -122.28915049499822, 37.810608209245856 -122.288075828511, 37.81211421541437 -122.28933503954696, 37.81193832786291 -122.291668916445, 37.81025645713092 -122.29274351378365, 37.80875047426238 -122.29148430337547))",71
72,892830811c7ffff,4.9999998880000005,11.358308860000001,0.40558045760000005,1,"POLYGON((37.81025645713092 -122.29274351378365, 37.81193832786291 -122.291668916445, 37.81344425736504 -122.2929281666676, 37.81326829283558 -122.29526201359216, 37.8115864217968 -122.29633654177348, 37.81008051559397 -122.29507729219021))",72
73,892830811cbffff,3.981481392,12.06014794,0.3566115887,1,"POLYGON((37.81078401981845 -122.28574192165803, 37.81246585954048 -122.28466715731612, 37.81397188900757 -122.2859263689689, 37.813796055453736 -122.28826034434938, 37.81211421541437 -122.28933503954696, 37.810608209245856 -122.288075828511))",73
74,892830811cfffff,5.392604317000001,11.55333989,0.3739416101,1,"POLYGON((37.81211421541437 -122.28933503954696, 37.813796055453736 -122.28826034434938, 37.81530200825378 -122.28951959520036, 37.815126097716245 -122.29185354062315, 37.81344425736504 -122.2929281666676, 37.81193832786291 -122.291668916445))",74
75,892830811d3ffff,4.307692512,12.013726394999999,0.39925252364999997,1,"POLYGON((37.80573837850586 -122.28896596155316, 37.807420279296764 -122.28789132377483, 37.8089263388262 -122.28915049499822, 37.80875047426238 -122.29148430337547, 37.807068573158595 -122.29255887200986, 37.80556253693121 -122.29129970141356))",75
76,892830811d7ffff,4.534310279,10.95653223,0.36955049705,1,"POLYGON((37.807068573158595 -122.29255887200986, 37.80875047426238 -122.29148430337547, 37.81025645713092 -122.29274351378365, 37.81008051559397 -122.29507729219021, 37.80839861418284 -122.29615179167183, 37.806892654615694 -122.29489258190235))",76
77,892830811dbffff,5.5677215345,12.77956958,0.4232206495,1,"POLYGON((37.80759606688661 -122.2855574854454, 37.80927793698836 -122.28448274981845, 37.81078401981845 -122.28574192165803, 37.810608209245856 -122.288075828511, 37.8089263388262 -122.28915049499822, 37.807420279296764 -122.28789132377483))",77
78,89283081217ffff,25.066222160000002,20.53959789,0.8922846421999999,1,"POLYGON((37.81660415112485 -122.25091160528129, 37.81828580493156 -122.24983597738388, 37.819792280797884 -122.2510950353405, 37.81961707956428 -122.25342972069218, 37.817935425387766 -122.25450527950589, 37.8164289728144 -122.25324622205419))",78
79,89283081233ffff,21.8703707045,19.771518855,0.8133456173000001,1,"POLYGON((37.82112347877855 -122.25468881795521, 37.82280510251706 -122.25361323037474, 37.82431144836475 -122.25487236745158, 37.82413614718341 -122.25720709159447, 37.82245452308123 -122.25828261007779, 37.820948200523745 -122.25702347351806))",79
80,89283081237ffff,38.222221864999995,23.555026225,1.2743542475,1,"POLYGON((37.82245452308123 -122.25828261007779, 37.82413614718341 -122.25720709159447, 37.82564241636884 -122.25846626796991, 37.82546703816221 -122.26080096230264, 37.823785413701884 -122.26187641168, 37.82227916780602 -122.26061723583324))",80
81,892830812a3ffff,3.891892077,11.156807215,0.34331602969999997,1,"POLYGON((37.81607848509076 -122.25791532745308, 37.81776017006103 -122.25683986649268, 37.81926654598302 -122.25809896323919, 37.81909121364078 -122.26043352042133, 37.817409528311295 -122.26150891228495, 37.815903175682976 -122.26024981606588))",81
82,892830812a7ffff,7.5171069065,12.4839628,0.36261213175,1,"POLYGON((37.817409528311295 -122.26150891228495, 37.81909121364078 -122.26043352042133, 37.82059751290661 -122.26169265645301, 37.82042210354968 -122.26402718381193, 37.818740417866564 -122.26510250656997, 37.817234141893714 -122.26384337107729))",82
83,892830812abffff,9.750000085,15.56300052,0.5265689639,1,"POLYGON((37.817935425387766 -122.25450527950589, 37.81961707956428 -122.25342972069218, 37.82112347877855 -122.25468881795521, 37.820948200523745 -122.25702347351806, 37.81926654598302 -122.25809896323919, 37.81776017006103 -122.25683986649268))",83
84,892830812afffff,8.00000038,12.86299992,0.3490784268,1,"POLYGON((37.81926654598302 -122.25809896323919, 37.820948200523745 -122.25702347351806, 37.82245452308123 -122.25828261007779, 37.82227916780602 -122.26061723583324, 37.82059751290661 -122.26169265645301, 37.81909121364078 -122.26043352042133))",84
