h3id_9,BC,BC_diff,NO,NO_diff,NO$_2$,NO$_2$_diff
89283081ed3ffff,0.5180132,0.019262012202215573,13.878072,4.6172021999731445,13.291803,2.092318559985351
89283081383ffff,0.3837455,-0.0030241107953308255,5.310839,-0.7107113798220217,12.228631,0.033071504592285805
89283098e4bffff,0.15377146,0.04077085455630493,7.2974696,5.075247287936279,8.827627,3.0767082610068357
892830981bbffff,0.55813444,-0.03230632739263917,7.3280187,-2.736497554686279,12.438208,-0.3925062736572258
89283098143ffff,0.37659857,-0.008241556679446371,6.364484,0.42448371681298713,9.30155,-0.21879732650097594
8928309815bffff,0.30715936,-0.0005516535765197617,4.77939,1.3127230272458492,8.692707,1.383409296767578
89283099c83ffff,0.7090708,-0.006099230865075578,25.920145,-12.137442905209966,21.214228,-2.2220111686083968
892830983abffff,0.26133347,-0.008212957023828127,3.8169029,0.4730672544002683,6.4808784,0.5450954086188968
89283098183ffff,0.38376996,-0.015159235988650543,6.6627345,-1.4020431349855969,8.695439,0.7852516066840822
892830810c3ffff,0.44617644,0.01874098722369688,9.113647,1.7528876484375004,15.377093,0.6994309251245117
892830810c7ffff,0.4413642,0.0016756555731109457,10.179601,0.5714727586372064,16.075912,0.4891647455859385
89283081187ffff,1.609571,-0.03257542842797845,26.443916,-14.48790113419922,25.870264,-5.532165351655273
8928309838fffff,0.35897183,-0.005028622517260717,5.08143,1.0814297683435061,7.1779,0.07688962949389655
8928308130bffff,0.36298466,-0.009339120762402342,7.1210585,0.6249045610502932,12.809317,-1.394830129868165
89283098e9bffff,0.546105,-0.03952598985120859,10.262095,-0.43631760864501956,12.020168,-0.4589825105566412
89283099c97ffff,0.30696374,0.016879287679327393,9.407224,7.43314662397705,10.703806,3.3238058709619143
892830983a3ffff,0.29366514,-0.018847769182766705,4.026103,0.026102829714355735,6.932664,-1.0967726724584956
8928309814fffff,0.33785775,-0.03157897371159363,2.897708,0.39770782014794914,5.770955,-0.45713616874560525
89283099ddbffff,0.3213698,-0.012101963658651738,4.990657,2.975731422722168,8.197399,1.147848539404297
89283099dd7ffff,0.31567687,-0.004352058488116484,3.133963,0.07840746556274425,8.188789,-1.099488965824218
89283098227ffff,0.25761393,0.007539711625930756,3.8213718,1.3992870557469481,7.4772415,0.10453867311328136
8928308155bffff,0.32922345,0.00284463979856564,5.683283,-2.797729616827148,12.5973835,-7.632616310854491
8928309822fffff,0.29213458,0.013899557296368381,3.5480704,2.955477810055615,7.0748034,1.4082452863559567
89283081003ffff,0.48368496,0.001427501427435196,6.928682,-0.5913185065666511,16.296055,-0.43975099991211053
8928309810bffff,1.1867499,-0.006295122849853563,50.578033,-4.515718422734373,30.575825,-1.6709036724511748
89283081063ffff,0.5063788,-0.016639739220782435,9.02008,-2.566877147268066,16.6199,-0.48069973024414026
89283098237ffff,0.25471193,0.008666123883428967,4.5273156,-0.06443159139233412,8.22909,0.41942306393847684
89283098027ffff,0.31027985,0.040285823591406256,4.820413,2.3862025656403807,8.726193,3.1166294530395504
89283081043ffff,0.58967453,-0.018667925286517395,10.246241,-2.2843484141552732,15.522886,-1.1851866837548855
89283081077ffff,0.58180064,-0.00966800407063606,14.761543,-1.1947287760742178,18.380487,-1.2838742679833999
89283098303ffff,0.25537735,0.0657842985877014,5.897179,3.200209354739502,7.989845,1.2420949405417474
89283098ed7ffff,0.71562064,-0.028573989859997595,11.970351,-4.124887210822752,14.964021,-1.5019325709350575
892830813dbffff,0.49740872,-0.0035430214292877515,8.07486,-3.0256959558593746,15.898068,-0.1691559769604467
8928308146bffff,0.6390911,0.005208766166705292,26.287893,3.9802014852880845,23.993307,1.9813373036474609
89283099d1bffff,0.21715182,0.011056331359637461,3.7519217,1.7367158737475585,8.21036,2.0826747053642585
89283081567ffff,0.6129664,0.0005257140662964233,9.696747,1.093087822171876,16.226208,-0.5052009368457036
89283099d9bffff,0.28783777,0.00922740136147765,7.9092264,3.909226227541504,11.00118,1.8523949631293934
89283098563ffff,0.39118314,-0.018214853406323228,7.9854255,-2.0600296177404793,9.66561,-1.0557725365844721
89283098337ffff,0.32225925,-0.006519824596990964,3.2579448,-0.1706266356885986,6.5195465,0.15875743378906293
8928309810fffff,0.9611594,0.005585007142498766,31.73517,-5.327329920620116,20.772848,1.337958724272461
8928309812bffff,1.6188191,0.007490514046081476,66.17009,-2.1153068433203117,35.2728,-0.5693557594433614
892830810abffff,0.48622033,-0.0022173208000763056,7.6412287,-0.8843468081577139,14.804158,0.14965042075439428
89283099d0bffff,0.29406285,0.02155446005949707,7.7599216,5.495770499750733,9.745517,3.4314542640385746
89283099cb7ffff,0.26753634,0.008974237744012459,2.239019,-0.22764781991625993,7.5625668,0.5284871112021481
892830810afffff,0.39677915,3.799177073671167e-05,7.0807137,2.0807138609318843,12.188308,0.10184664214599692
89283081087ffff,0.71629703,0.0031029032989136063,24.474678,8.77097435455078,21.655922,0.9359500260351581
8928308106fffff,0.58657515,-0.02926877086019286,8.339168,-0.898927583090332,16.903908,-1.045048109121094
8928308108bffff,0.5060974,0.011523597196588131,13.662003,1.0258917134765628,18.459482,-0.13885585200683437
8928309831bffff,0.2739727,0.039764812555438234,6.583053,3.1252608410300295,9.46953,2.4092195840908213
892830811cbffff,0.3529998,-0.0036117822958862122,4.637254,0.655772846128662,11.505834,-0.5543143142065432
8928309839bffff,0.39278638,-0.0008558706711547792,5.4207644,1.3544135837585447,7.9959097,1.8355740913569338
892830812afffff,0.369514,0.02043556169487304,11.187056,3.187055207768555,14.265239,1.4022388419018554
8928308114bffff,0.544885,-0.02231766362511589,6.021012,0.1787042388762199,12.510155,-0.09031108087890516
8928308152bffff,2.0084195,-0.01215225029760747,58.389687,-4.683335835527345,36.14402,-1.4560115894335937
89283099d57ffff,0.21192539,0.012260133732507339,5.335654,4.187439457740869,6.612856,1.252105951254883
892830980a7ffff,2.2026591,-0.09965230440356443,52.22588,-35.730641990810554,29.0131,-12.946130564589843
89283081097ffff,0.4174083,0.00890930172517701,6.040811,-0.05293880214086766,13.362749,0.6554544097314459
8928308118bffff,0.35689354,-0.03319503227128906,4.759274,-0.43522818111010686,11.188746,-0.3350418476684567
89283099c07ffff,0.40142474,0.009112452384530623,27.74744,25.347440317134765,18.367653,9.763483603066407
8928308117bffff,0.5455838,0.017033111180230653,14.343329,7.038981539626465,16.622732,1.1497325924755852
89283098373ffff,0.26076615,0.050948008167199715,4.553791,1.725868916142578,9.379331,1.1620664350708019
89283098ecbffff,0.35743266,-0.001448438859295631,4.668202,1.2396304653703614,8.6764145,1.4439144137460938
89283081113ffff,0.41998595,-0.011947602256866474,4.645747,-1.4709731987465826,11.981959,-0.9419656220434565
89283098107ffff,0.48927444,0.017654522495892333,10.211531,-1.9219821245751945,11.466227,-0.355382417241211
89283098193ffff,0.424717,0.035069290767535344,10.182564,3.164438332738282,10.215138,1.7789509853637693
89283081463ffff,0.3945418,-0.032246982277874814,4.9167156,-3.2310800470517584,10.662144,-2.4196390527246088
89283099c87ffff,0.31098866,0.07411203862707519,11.299729,5.4173765372290035,12.837116,3.3277651554550793
89283081217ffff,0.91283584,0.02055119421052254,25.335873,0.269650490146482,21.653982,1.1143842724755864
892830983b3ffff,0.3607044,-0.026972204405252054,4.5278616,1.4702922201538087,8.348558,1.3602507669033201
8928309856fffff,0.33178613,0.00422716234836118,5.683283,-1.5836345818271482,11.442362,-0.3936995433349608
892830811bbffff,1.3674521,-0.06646301537719723,12.113424,-22.66435399885254,16.652473,-9.381286690292967
89283099cabffff,0.28674442,0.020526243060040306,2.2290258,0.22902578475927715,7.9288673,-0.37503886991210855
89283081007ffff,0.65099967,-0.020506917589685036,10.646089,-3.2266023448413073,17.66062,-0.5210657792822246
89283081103ffff,0.9698992,0.02279065010126957,15.880551,1.1656391381958002,21.34652,-0.2133265897851544
8928308111bffff,0.3939007,-0.014023560487078868,5.0827465,-0.024396506762695225,11.474924,-1.1603802474755867
89283098343ffff,0.28908604,0.017251085034686253,7.789323,1.520665943088379,9.201041,0.4626241796186523
89283098393ffff,0.39837152,0.003503317208233603,6.653938,-0.047115017380127355,11.396164,1.761186270429688
8928308131bffff,0.34511942,-0.0013704085362853946,6.0804415,2.080441284914551,10.461169,0.3478653178588864
89283098223ffff,0.24257004,0.012625843310168444,3.672665,1.3523446881711427,8.629418,2.392943335107911
