,h3id_9,no_med,OSM-SimpleLinearRegression-y_estimated,OSM-SimpleLinearRegression-diff,Waze-SimpleLinearRegression-y_estimated,Waze-SimpleLinearRegression-diff,Waze-SimpleGamma-y_estimated,Waze-SimpleGamma-diff,Waze-SimpleLinearRegression-transformed-y_estimated,Waze-SimpleLinearRegression-transformed-diff
82,89283099d73ffff,6.000000052000001,4.035226609214128,1.964773442785873,7.920338903497324,-1.9203388514973234,6.921466458409694,-0.9214664064096931,2.626690715488331,-0.17720096209069736
83,89283099dc7ffff,2.460149461,6.771084968961237,-4.310935507961236,6.462595067605836,-4.002445606605836,6.956143929414843,-4.4959944684148425,2.3483080356302795,-0.7798216757915972
84,892830981cbffff,4.00000019,10.814738284012101,-6.814738094012101,-0.11344795280370334,4.113448142803703,3.4738407232911555,0.5261594667088443,1.280781527899354,0.7192185196006455
85,89283098173ffff,7.363636512,7.390310168220446,-0.026673656220445707,6.671256000528508,0.6923805114714918,6.828325412697408,0.535311099302592,2.4791874765697868,0.2344146519671142
86,89283099c2fffff,5.694444317,7.303510666276326,-1.6090663492763255,23.47920084455204,-17.78475652755204,28.653905616584563,-22.95946129958456,4.683810094570049,-2.2975066107273086
87,8928308157bffff,34.99999922,29.910070868029205,5.089928351970794,9.273904063624698,25.7260951563753,13.05431880761095,21.94568041238905,3.1332671638173535,2.7828125533602304
88,89283099d1bffff,2.01520578,8.753070840574635,-6.737865060574634,4.488151656465732,-2.4729458764657317,6.556309113295559,-4.54110333329556,2.1273164938223834,-0.7077370561014786
89,89283098563ffff,10.04545509,11.199256685297879,-1.1538015952978782,14.009121951781218,-3.963666861781217,6.452498792455232,3.5929562975447684,2.8188674927805075,0.3505890994447278
90,89283081567ffff,8.603659003999999,10.363290630600051,-1.7596316266000525,19.005418707217565,-10.401759703217566,6.590923273946158,2.0127357300538407,3.7582343993690466,-0.825034950985081
91,8928309810bffff,55.09375187,12.44802512500489,42.64572674499511,50.08046119785905,5.013290672140947,-26.597680456293013,81.69143232629301,6.769192922332545,0.6533236232872763
92,89283081063ffff,11.58695676,12.16622303604126,-0.5792662760412597,8.011016020224929,3.5759407397750707,10.90828482339533,0.678671936604669,2.856753748158441,0.5472081728976685
93,892830813afffff,11.64456515,7.8802276257703046,3.7643375242296955,5.180196304175517,6.464368845824483,6.2708575410158724,5.373707608984128,2.5094163273419436,0.9029970635003792
94,89283081097ffff,6.0937498639999985,11.228064806308447,-5.134314942308449,7.426083390834513,-1.332333526834515,10.079624000301727,-3.985874136301729,2.7987130361792105,-0.33016085645928417
